wl,eqe
303.7499576,7.490255044
308.1786405,10.14877593
311.7215869,13.37122548
315.2645332,16.43255256
319.6932161,20.94398194
323.5314080,25.29428884
326.7791088,29.37874365
330.3220552,33.63237706
333.8650015,37.53959715
337.4079479,41.56765909
340.9508942,45.67628228
344.4938406,49.18069617
348.0367869,52.44342634
353.3512064,54.90054413
360.4370991,56.75345262
366.6372552,58.9151792
371.0659382,60.74123395
374.6088845,62.19133625
383.4662504,64.87671088
394.0950894,65.27951707
404.7239285,63.6145848
413.5812943,64.3664897
422.4386602,66.46108191
433.0674992,67.48152427
442.8106017,69.21627628
452.5537041,70.5159976
463.1825432,71.16048751
473.8113822,70.99936503
483.5544847,69.40156713
495.0690603,69.87150769
505.6978993,71.13363377
516.3267384,70.83824256
526.9555774,70.40858262
537.0529745,70.27968463
548.0361082,71.47199097
558.8420945,72.58373607
569.4709336,73.20137223
580.0997726,73.4162022
590.7286117,71.53643996
601.3574507,73.60417843
611.9862897,73.71159341
622.6151288,73.46990969
633.2439678,73.68473966
643.8728069,73.7653009
655.3873825,71.85868492
665.1304849,70.00577642
675.759324,68.52882038
685.5024264,67.05723508
695.2455289,65.30637082
705.8743679,65.44063955
715.6174704,65.02709186
725.3605728,62.88953365
735.9894119,61.51999259
744.8467778,60.41898899
750.1611973,58.32439678
754.5898802,56.28351206
760.7900363,54.09493174
766.1044558,52.68511006
769.6474022,48.25424192
771.4188754,45.75684352
773.1903485,43.50112883
775.9493671,36.71052632
777.2151899,31.64473684
778.4810127,27.96052632
783.5443038,20.13157895
786.0759494,15.52631579
787.3417722,11.61184211
792.4050633,7.467105263
796.2025316,4.934210526
802.4196559,3.220509383
811.2770218,1.394454635
