Wavelength (nm),Irradiance W/m2/nm,"Wavelength, microns",E-490 W/m2/micron
521.5,1.91E+00,0.5215,1906
522.5,1.82E+00,0.5225,1823
523.5,1.89E+00,0.5235,1894
524.5,1.96E+00,0.5245,1958
525.5,1.93E+00,0.5255,1930
526.5,1.67E+00,0.5265,1674
527.5,1.83E+00,0.5275,1828
528.5,1.90E+00,0.5285,1897
529.5,1.92E+00,0.5295,1918
530.5,1.95E+00,0.5305,1952
531.5,1.96E+00,0.5315,1963
532.5,1.77E+00,0.5325,1770
533.5,1.92E+00,0.5335,1923
534.5,1.86E+00,0.5345,1858
535.5,1.99E+00,0.5355,1990
536.5,1.87E+00,0.5365,1871
537.5,1.88E+00,0.5375,1882
538.5,1.90E+00,0.5385,1904
539.5,1.83E+00,0.5395,1832
540.5,1.77E+00,0.5405,1769
541.5,1.88E+00,0.5415,1881
542.5,1.83E+00,0.5425,1825
543.5,1.88E+00,0.5435,1879
544.5,1.88E+00,0.5445,1879
545.5,1.90E+00,0.5455,1901
546.5,1.88E+00,0.5465,1879
547.5,1.83E+00,0.5475,1833
548.5,1.86E+00,0.5485,1863
549.5,1.90E+00,0.5495,1895
550.5,1.86E+00,0.5505,1862
551.5,1.87E+00,0.5515,1871
552.5,1.85E+00,0.5525,1846
553.5,1.88E+00,0.5535,1882
554.5,1.90E+00,0.5545,1898
555.5,1.90E+00,0.5555,1897
556.5,1.82E+00,0.5565,1821
557.5,1.85E+00,0.5575,1846
558.5,1.79E+00,0.5585,1787
559.5,1.81E+00,0.5595,1808
560.5,1.84E+00,0.5605,1843
561.5,1.82E+00,0.5615,1824
562.5,1.85E+00,0.5625,1850
563.5,1.86E+00,0.5635,1861
564.5,1.85E+00,0.5645,1854
565.5,1.80E+00,0.5655,1798
566.5,1.83E+00,0.5665,1829
567.5,1.89E+00,0.5675,1887
568.5,1.81E+00,0.5685,1810
569.5,1.86E+00,0.5695,1860
570.5,1.77E+00,0.5705,1769
571.5,1.82E+00,0.5715,1823
572.5,1.89E+00,0.5725,1892
573.5,1.88E+00,0.5735,1876
574.5,1.87E+00,0.5745,1867
575.5,1.83E+00,0.5755,1830
576.5,1.85E+00,0.5765,1846
577.5,1.86E+00,0.5775,1857
578.5,1.78E+00,0.5785,1783
579.5,1.83E+00,0.5795,1828
580.5,1.84E+00,0.5805,1838
581.5,1.85E+00,0.5815,1853
582.5,1.87E+00,0.5825,1873
583.5,1.86E+00,0.5835,1857
584.5,1.86E+00,0.5845,1860
585.5,1.78E+00,0.5855,1783
586.5,1.83E+00,0.5865,1830
587.5,1.85E+00,0.5875,1848
588.5,1.75E+00,0.5885,1750
589.5,1.61E+00,0.5895,1612
590.5,1.81E+00,0.5905,1813
591.5,1.79E+00,0.5915,1787
592.5,1.81E+00,0.5925,1808
593.5,1.80E+00,0.5935,1796
594.5,1.77E+00,0.5945,1773
595.5,1.78E+00,0.5955,1782
596.5,1.81E+00,0.5965,1805
597.5,1.78E+00,0.5975,1780
598.5,1.76E+00,0.5985,1757
599.5,1.77E+00,0.5995,1774
600.5,1.75E+00,0.6005,1746
601.5,1.75E+00,0.6015,1751
602.5,1.72E+00,0.6025,1719
603.5,1.79E+00,0.6035,1787
604.5,1.78E+00,0.6045,1776
605.5,1.76E+00,0.6055,1763
606.5,1.76E+00,0.6065,1759
607.5,1.76E+00,0.6075,1757
608.5,1.74E+00,0.6085,1743
609.5,1.74E+00,0.6095,1744
610.5,1.70E+00,0.6105,1703
611.5,1.75E+00,0.6115,1746
612.5,1.71E+00,0.6125,1705
613.5,1.68E+00,0.6135,1683
614.5,1.71E+00,0.6145,1713
615.5,1.71E+00,0.6155,1713
616.5,1.61E+00,0.6165,1609
617.5,1.71E+00,0.6175,1707
618.5,1.72E+00,0.6185,1724
619.5,1.71E+00,0.6195,1707
620.5,1.73E+00,0.6205,1734
621.5,1.69E+00,0.6215,1690
622.5,1.71E+00,0.6225,1713
623.5,1.67E+00,0.6235,1666
624.5,1.66E+00,0.6245,1656
625.5,1.63E+00,0.6255,1632
626.5,1.70E+00,0.6265,1697
627.5,1.70E+00,0.6275,1697
628.5,1.70E+00,0.6285,1697
629.5,1.68E+00,0.6295,1677
631,1.64E+00,0.631,1639
633,1.65E+00,0.633,1651
635,1.66E+00,0.635,1656
637,1.65E+00,0.637,1654
639,1.65E+00,0.639,1651
641,1.61E+00,0.641,1614
643,1.62E+00,0.643,1621
645,1.63E+00,0.645,1627
647,1.60E+00,0.647,1603
649,1.56E+00,0.649,1558
651,1.61E+00,0.651,1606
653,1.60E+00,0.653,1599
655,1.53E+00,0.655,1532
657,1.38E+00,0.657,1384
659,1.55E+00,0.659,1549
661,1.57E+00,0.661,1571
663,1.56E+00,0.663,1555
665,1.56E+00,0.665,1560
667,1.54E+00,0.667,1535
669,1.55E+00,0.669,1546
671,1.52E+00,0.671,1516
673,1.52E+00,0.673,1521
675,1.51E+00,0.675,1510
677,1.51E+00,0.677,1508
679,1.50E+00,0.679,1498
681,1.49E+00,0.681,1492
683,1.48E+00,0.683,1479
685,1.46E+00,0.685,1455
687,1.47E+00,0.687,1467
689,1.46E+00,0.689,1461
691,1.45E+00,0.691,1448
693,1.45E+00,0.693,1448
695,1.44E+00,0.695,1436
697,1.42E+00,0.697,1416
699,1.43E+00,0.699,1425
701,1.39E+00,0.701,1386
