wl, eqe
313.4798063672662, 1.4316703496025838
321.0051941627504, 3.786156192723112
324.10388325500867, 6.988438389872982
327.2025723472669, 9.907584492348292
331.07593371258963, 14.139949073105157
332.36705416769723, 17.35823233572431
334.7771456838981, 20.311256556124235
337.38397936468675, 23.33304594655077
339.2530299282711, 26.525960032217768
341.22045157414937, 29.895437598925113
342.696017808558, 32.8498238804645
345.2208755874351, 36.608286560500275
347.4178297586658, 40.724769533377014
349.5819935691318, 43.93258116275679
351.2543019681283, 47.16949423731518
353.28320554044024, 50.653001071811374
355.86544645065544, 54.64430132486033
357.84516448182046, 57.9059254044661
359.2223596339352, 60.78278455323226
361.2881523621073, 63.29629812845248
364.12861736334406, 66.48983491568208
365.4197378184516, 69.64119510137814
369.55132327479595, 73.2885772814044
375.23225327726936, 76.94724848899969
371.6171160029681, 70.71593701047078
378.8473905515706, 79.88388541131555
385.56121691813007, 82.51363293314816
397.43952510511997, 84.66621764746921
409.8342814741528, 85.80670738281425
422.2290378431857, 86.9471971181593
434.6237942122186, 87.71017206060492
447.01855058125153, 88.23291031666002
459.41330695028444, 88.68700951946069
471.8080633193173, 89.4156649352791
484.20281968835025, 90.41887656411527
496.5975760573831, 90.80433671366148
508.99233242641594, 91.25843591646215
521.3870887954489, 91.6782155926356
533.7818451644818, 92.16663432206347
546.1766015335147, 92.24321873196473
558.5713579025476, 92.25116408861155
570.9661142715804, 92.19047039200393
583.3608706406134, 92.02681811551464
595.7556270096462, 92.06908299878867
608.1503833786792, 92.21430646194437
620.545139747712, 91.879056552319
632.9398961167449, 91.26925042967588
645.3346524857778, 90.86536146679606
657.7294088548107, 90.87330682344287
670.1241652238436, 90.81261312683526
682.5189215928765, 90.27144605744657
694.9136779619093, 89.86755709456676
707.3084343309423, 89.25775097192363
719.7031906999752, 88.51066674277163
732.097947069008, 88.10677777989183
744.492703438041, 88.38927934955639
756.8874598070738, 88.80905902572984
769.7248860464293, 88.47409287884184
779.2668810289388, 86.12360204722314
782.7098689092256, 83.16288995858625
789.202360340624, 78.16130371401212
790.2844422458569, 75.13697622354562
793.813504823151, 71.81024436030621
794.4160277022013, 68.48163651008076
796.875304759549, 65.31110815147423
799.2362107346029, 62.46508140058476
800.7117769690116, 56.900380615344766
803.0726829440654, 53.63663619750686
805.4335889191193, 50.196391357014676
804.9171407370762, 47.57061651350548
807.4993816472914, 43.958425642294074
809.3069502844421, 39.722838778008224
810.8562948305712, 35.94010413693819
813.4385357407864, 32.106552318981215
814.729656195894, 29.198800078641796
815.0739549839227, 26.76233439246056
818.123458535034, 23.70004575357038
819.205540440267, 20.45018994526788
821.9599307444965, 17.002843154042765
824.5421716547118, 12.989113821292904
827.8621956821312, 9.556837984342323
830.2231016571851, 6.763761360249134
835.3875834776155, 3.909971333802659
843.5031977668632, 1.6243452482878808
856.0455107593369, 1.0832727664783306
868.4402671283699, 1.0225790698707016
880.8350234974027, 0.8589267933814142
891.1639871382635, 0.7797491073523872
